数,すう,,3,(かず1) 名词 数量，数目
数字,すうじ,,3,(すうじ0) 名词 数字
スープ,スープ,,3,（soup）①【名】（西餐）汤
末,すえ,,3,(すえ) 名词 结果；末尾，末了，结尾
姿,すがた,,3,(すがた) 名词 打扮，装束；姿态，姿势
スキー,スキー,,3,（ski）②【名·自动3】滑雪
救う,すくう,,3,（すくう）⓪【他动1】救，救助；救济；挽救
すくなくとも,すくなくとも,,3,至少
優れる,すぐれる,,3,(すぐれる3) 动2 优秀，卓越
スケート,スケート,,3,（skate）⓪【名·自动3】滑冰
スケジュール,スケジュール,,3,(スケジュール) 名词 日程，日程表
少しも,すこしも,,3,(すこしも) 副词 一点也（不）
過ごす,すごす,,3,（すごす）②【他动1】度过；生活
筋,すじ,,3,（すじ）①【名】筋；逻辑，条理；情节
進める,すすめる,,3,（すすめる）⓪【他动2】使⋯⋯前进；推进，促进
勧める,すすめる,,3,（すすめる）⓪【他动2】劝告，劝诱
スター,スター,,3,(スター) 名词 明星：星星
スタイル,スタイル,,3,(スタイル2) 名词 体型，身材；形式
スタンド,スタンド,,3,(スタンド) 名词 台灯
頭痛,ずつう,,3,（ずつう）⓪【名】头痛
ずっと,ずっと,,3,⓪【副】比……得多；一直
すっぱい,すっぱい,,3,③【イ形】酸的
すてき,すてき,,3,漂亮；极好
既に,すでに,,3,已经
すなわち,すなわち,,3,②【接续】换言之，也就是；正是，即是
スピーチ,スピーチ,,3,（speech）②【名】演讲，致辞
全て,すべて,,3,（すべて）①【名·副】全部
済ませる,すませる,,3,做完；应付
角,すみ,,3,（かど）①【名】角；拐弯，拐角
墨,すみ,,3,（すみ）②【名】墨
すみません (かん),すみません (かん),,3,对不起；劳驾
澄む,すむ,,3,（すむ）①【自动1】清澈；清晰悦耳；清静，宁静
清む,すむ,,3,澄清；清澈
刷る,する,,3,印刷
為る,する,,3,做；为
鋭い,するどい,,3,(するどい) 形容词 尖锐，锋利
すれ違う,すれちがう,,3,擦肩而过
ずれる,ずれる,,3,(ずれる) 动2 错位，错开，移动；背离，偏离
正,せい,,3,正；正规
生,せい,,3,(なま) 名词 生，鲜；未加工过
性,せい,,3,性；性别
姓,せい,,3,(せい1) 名词 姓
所為,せい,,3,原因（多指坏事的缘由）
税,ぜい,,3,税
性格,せいかく,,3,（せいかく）⓪【名】性格
正確,せいかく,,3,(せいかく) 形容动词 正确
世紀,せいき,,3,（せいき）①【名】世纪
請求,せいきゅう,,3,(せいきゅうする) 动3 索要，请求，要求，索取
税金,ぜいきん,,3,(ぜいきん0) 名词 税金
清潔,せいけつ,,3,(せいけつ) 名词 整洁，干净；清洁
制限,せいげん,,3,(せいげん) 名词 限制，限度，界限
成功,せいこう,,3,（せいこう）⓪【名·自动3】成功
正式,せいしき,,3,(せいしき0) 形容动词 正规，正式
性質,せいしつ,,3,(せいしつ) 名词 品质，性质
精神,せいしん,,3,(せいしん) 名词 精神
成人,せいじん,,3,(せいじん) 名词 成年人，大人
精々,せいぜい,,3,至多；尽量
成績,せいせき,,3,（せいせき）⓪【名】成绩
製造,せいぞう,,3,(せいぞう0) 名词 制造，生产
贅沢,ぜいたく,,3,（ぜいたく）③【名·ナ形】奢侈，浪费；奢望
成長,せいちょう,,3,（せいちょう）⓪【名·自动3】成长，发育；增长，发展
生長,せいちょう,,3,生长
制度,せいど,,3,(せいど0) 名词 制度
青年,せいねん,,3,（せいねん）⓪【名】青年
生年月日,せいねんがっぴ,,3,(せいねんがっぴ) 名词 出生年月日
製品,せいひん,,3,（せいひん）⓪【名】产品
政府,せいふ,,3,(せいふ0) 名词 政府
生物,せいぶつ,,3,(なまもの2) 名词 生的(食品)，生鲜(食品)
生命,せいめい,,3,(せいめい) 名词 生命
整理,せいり,,3,（せいり）①【名·他动3】整理，收拾
咳,せき,,3,（せき）②【名】咳嗽
石炭,せきたん,,3,(せきたん) 名词 煤，煤炭
責任,せきにん,,3,(せきにん) 名词 责任
石油,せきゆ,,3,(せきゆ0) 名词 石油
世間,せけん,,3,(せけん) 名词 社会，世上，世人，人世
説,せつ,,3,(せつ) 名词 学说；说法，论点；主张，意见
積極的,せっきょくてき,,3,(せっきょくてき0) 形容动词 积极．正面
設計,せっけい,,3,（せっけい）⓪【名·他动3】设计
